"id","barcode","category","category_code","cpg","x_ref","name","top_brand","brand_code"
"601ac115be37ce2ead437551","511111019862","Baking","BAKING","601ac114be37ce2ead437550","Cogs","test brand @1612366101024",FALSE,NA
"601c5460be37ce2ead43755f","511111519928","Beverages","BEVERAGES","5332f5fbe4b03c9a25efd0ba","Cogs","Starbucks",FALSE,"STARBUCKS"
"601ac142be37ce2ead43755d","511111819905","Baking","BAKING","601ac142be37ce2ead437559","Cogs","test brand @1612366146176",FALSE,"TEST BRANDCODE @1612366146176"
"601ac142be37ce2ead43755a","511111519874","Baking","BAKING","601ac142be37ce2ead437559","Cogs","test brand @1612366146051",FALSE,"TEST BRANDCODE @1612366146051"
"601ac142be37ce2ead43755e","511111319917","Candy & Sweets","CANDY_AND_SWEETS","5332fa12e4b03c9a25efd1e7","Cogs","test brand @1612366146827",FALSE,"TEST BRANDCODE @1612366146827"
"601ac142be37ce2ead43755b","511111719885","Baking","BAKING","601ac142be37ce2ead437559","Cogs","test brand @1612366146091",FALSE,"TEST BRANDCODE @1612366146091"
"601ac142be37ce2ead43755c","511111219897","Baking","BAKING","601ac142be37ce2ead437559","Cogs","test brand @1612366146133",FALSE,"TEST BRANDCODE @1612366146133"
"5cdad0f5166eb33eb7ce0faa","511111104810","Condiments & Sauces",NA,"559c2234e4b06aca36af13c6","Cogs","J.L. Kraft",NA,"J.L. KRAFT"
"5ab15636e4b0be0a89bb0b07","511111504412","Canned Goods & Soups",NA,"5a734034e4b0d58f376be874","Cogs","Campbell's Home Style",FALSE,"CAMPBELLS HOME STYLE"
"5c408e8bcd244a1fdb47aee7","511111504788","Baking",NA,"59ba6f1ce4b092b29c167346","Cogs","test",NA,"TEST"
"5f4bf556be37ce0b4491554d","511111516354","Baking","BAKING","5f4bf556be37ce0b44915549","Cogs","test brand @1598813526777",NA,"TEST BRANDCODE @1598813526777"
"57c08106e4b0718ff5fcb02c","511111102540",NA,NA,"5332f5f2e4b03c9a25efd0aa","Cpgs","MorningStar",NA,NA
"588ba07be4b02187f85cdadd","511111201076","Baking",NA,"559c2234e4b06aca36af13c6","Cogs","Calumet",FALSE,"CALUMET"
"5d6413156d5f3b23d1bc790a","511111205012","Magazines",NA,"5d5d4fd16d5f3b23d1bc7905","Cogs","Entertainment Weekly",NA,"511111205012"
"585a9611e4b03e62d1ce0e74","511111801801","Breakfast & Cereal",NA,"5332f5fbe4b03c9a25efd0ba","Cogs","AUNT JEMIMA Syrup",FALSE,"AUNT JEMIMA SYRUP"
"57e5820ce4b0ac389136a311","511111202233","Beer Wine Spirits",NA,"5332f709e4b03c9a25efd0f1","Cpgs","Molson Canadian",FALSE,"MOLSON"
"5fb6adb8be37ce522e165cb8","511111817376","Health & Wellness","HEALTHY_AND_WELLNESS","5d9b4f591dda2c6225a284aa","Cogs","Lotrimin",FALSE,"LOTRIMIN"
"5f358338be37ce443bf9d55a","511111515319","Baking","BAKING","5f358338be37ce443bf9d557","Cogs","test brand @1597342520277",NA,"TEST BRANDCODE @1597342520277"
"5fb28549be37ce522e165cb5","511111317364","Baking","BAKING","5fb28549be37ce522e165cb4","Cogs","test brand @1605535049181",FALSE,NA
"592486bfe410d61fcea3d139","511111300700","Beauty",NA,"5332f5f6e4b03c9a25efd0b4","Cogs","ST. IVES",FALSE,"ST IVES"
"5c4699f387ff3577e203ea29","511111305125","Baby",NA,"55b62995e4b0d8e685c14213","Cogs","Chris Image Test",NA,"CHRISIMAGE"
"5da6071ea60b87376833e34d","511111005650","Health & Wellness","HEALTHY_AND_WELLNESS","5d9b4f591dda2c6225a284aa","Cogs","Alka-Seltzer",NA,"ALKA SELTZER"
"57ebc011e4b0ac389136a335","511111802129","Condiments & Sauces",NA,"559c2234e4b06aca36af13c6","Cogs","Jack Daniel's",FALSE,"JACK DANIEL'S BARBECUE"
"5332f5fee4b03c9a25efd0bd","511111303947",NA,NA,"53e10d6368abd3c7065097cc","Cpgs","Bottled Starbucks",NA,NA
"5332fa7ce4b03c9a25efd22e","511111802914",NA,NA,"5332f5ebe4b03c9a25efd0a8","Cpgs","Full Throttle",NA,NA
"5e9f18bfbe37ce3e45b6a77f","511111914549","Baking","BAKING","5e9f12f5be37ce3e45b6a77e","Cogs","PopUp Brand A",NA,NA
"592486bee410d61fcea3d133","511111400769","Frozen",NA,"5332f5f6e4b03c9a25efd0b4","Cogs","MAGNUM Ice Cream",FALSE,"MAGNUM Ice Cream"
"5d66d71fa3a018093ab34728","511111105329","Magazines",NA,"5d5d4fd16d5f3b23d1bc7905","Cogs","Elegant Homes Magazine",NA,"511111105329"
"5f493e72be37ce64d0ae36c6","511111316114","Baking","BAKING","5f493e72be37ce64d0ae36c2","Cogs","test brand @1598635634882",NA,"TEST BRANDCODE @1598635634882"
"5f4936ddbe37ce52f8314fd9","511111315957","Baking","BAKING","5f4936dcbe37ce52f8314fd8","Cogs","test brand @1598633693011",NA,NA
"57ebc2e7e4b0ac389136a34b","511111201915","Grocery",NA,"559c2234e4b06aca36af13c6","Cogs","Taco Bell",FALSE,"TACO BELL"
"5fd2a0aebe37ce49eb72c0ee","511111518112","Baking","BAKING","5fd2a0aebe37ce49eb72c0ed","Cogs","test brand @1607639214411",FALSE,NA
"5dc03596a60b873d6b0666cd","511111506249","Breakfast & Cereal",NA,"53e10d6368abd3c7065097cc","Cogs","Frosted Cheerios",NA,"FROSTED CHEERIOS"
"5f494c5f04db711dd8fe87e6","511111916161","Baking","BAKING","5f494c5d04db711dd8fe87e2","Cogs","test brand @1598639199674",NA,"TEST BRANDCODE @1598639199674"
"5332f772e4b03c9a25efd125","511111103653",NA,NA,"5332f5f3e4b03c9a25efd0ae","Cpgs","Gold Medal",NA,NA
