"id","barcode","description","final_price","item_price","needs_fetch_review","partner_item_id","prevent_target_gap_points","quantity_purchased","user_flagged_barcode","user_flagged_new_item","user_flagged_price","user_flagged_quantity","needs_fetch_review_reason","points_not_awarded_reason","points_payer_id","rewards_group","rewards_product_partner_id","user_flagged_description","original_meta_brite_barcode","original_meta_brite_description","brand_code","competitor_rewards_group","discounted_item_price","original_receipt_item_text","item_number","original_meta_brite_quantity_purchased","points_earned","target_price","competitive_product","original_final_price","original_meta_brite_item_price","deleted","price_after_coupon","metabrite_campaign_id"
"5ff1e1eb0a720f0523000575","4011","ITEM NOT FOUND","26.00","26.00",FALSE,"1",TRUE,5,"4011",TRUE,"26.00",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1bb0a720f052300056b","4011","ITEM NOT FOUND","1","1",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1bb0a720f052300056b","028400642255","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ","10.00","10.00",TRUE,"2",TRUE,1,"028400642255",TRUE,"10.00",1,"USER_FLAGGED","Action not allowed for user and CPG","5332f5fbe4b03c9a25efd0ba","DORITOS SPICY SWEET CHILI SINGLE SERVE","5332f5fbe4b03c9a25efd0ba","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1f10a720f052300057a",NA,NA,NA,NA,FALSE,"1",TRUE,NA,"4011",TRUE,"26.00",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1ee0a7214ada100056f","4011","ITEM NOT FOUND","28.00","28.00",FALSE,"1",TRUE,4,"4011",TRUE,"28.00",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1d20a7214ada1000561","4011","ITEM NOT FOUND","1","1",NA,"1",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1d20a7214ada1000561","1234",NA,"2.56","2.56",TRUE,"2",TRUE,3,"1234",TRUE,"2.56",3,"USER_FLAGGED",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1e40a7214ada1000566","4011","ITEM NOT FOUND","3.25","3.25",FALSE,"1",TRUE,1,"4011",NA,NA,NA,NA,"Action not allowed for user and CPG","5332f5fbe4b03c9a25efd0ba","DORITOS SPICY SWEET CHILI SINGLE SERVE","5332f5fbe4b03c9a25efd0ba",NA,"028400642255","DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1cd0a720f052300056f",NA,"MSSN TORTLLA","2.23","2.23",NA,"1009",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"MISSION","TACO BELL TACO SHELLS","2.23","MSSN TORTLLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5ff1e1a40a720f0523000569","046000832517","Old El Paso Mild Chopped Green Chiles, 4.5 Oz","10.00","10.00",NA,"0",NA,1,NA,NA,NA,NA,NA,"Action not allowed for user and CPG","5332f5f3e4b03c9a25efd0ae","OLD EL PASO BEANS & PEPPERS","5332f5f3e4b03c9a25efd0ae",NA,NA,NA,"BRAND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
